feedback,batch,exp_id,meta_round,seed,role,model,survival_days,final_hp,dead
OF,OF,exp_001,1,10,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,1,10,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,1,10,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,1,10,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_001,1,10,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_001,1,42,Alex,gpt-5.4,20.0,6.0,0
OF,OF,exp_001,1,42,Bob,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_001,1,42,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,1,42,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,1,42,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,1,98,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,1,98,Bob,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_001,1,98,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,1,98,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,1,98,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,1,197,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,1,197,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,1,197,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,1,197,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,1,197,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,1,666,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,1,666,Bob,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_001,1,666,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,1,666,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,1,666,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,2,10,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,2,10,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,2,10,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,2,10,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_001,2,10,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_001,2,42,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,2,42,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,2,42,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,2,42,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,2,42,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_001,2,98,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,2,98,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,2,98,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,2,98,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,2,98,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,2,197,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,2,197,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,2,197,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,2,197,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_001,2,197,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_001,2,666,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,2,666,Bob,deepseek-v4-flash,10.0,-1.0,1
OF,OF,exp_001,2,666,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,2,666,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,2,666,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,3,10,Alex,gpt-5.4,20.0,9.0,0
OF,OF,exp_001,3,10,Bob,deepseek-v4-flash,6.0,-2.0,1
OF,OF,exp_001,3,10,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,3,10,David,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_001,3,10,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,3,42,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,3,42,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_001,3,42,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,3,42,David,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_001,3,42,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,3,98,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,3,98,Bob,deepseek-v4-flash,11.0,-1.0,1
OF,OF,exp_001,3,98,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,3,98,David,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_001,3,98,Eric,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_001,3,197,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,3,197,Bob,deepseek-v4-flash,8.0,0.0,1
OF,OF,exp_001,3,197,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,3,197,David,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_001,3,197,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_001,3,666,Alex,gpt-5.4,20.0,10.0,0
OF,OF,exp_001,3,666,Bob,deepseek-v4-flash,10.0,-1.0,1
OF,OF,exp_001,3,666,Cindy,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_001,3,666,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_001,3,666,Eric,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_002,1,10,Alex,gpt-5.4,16.0,-2.0,1
OF,OF,exp_002,1,10,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_002,1,10,Cindy,gpt-5.4-nano,20.0,10.0,0
OF,OF,exp_002,1,10,David,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_002,1,10,Eric,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_002,1,42,Alex,gpt-5.4,16.0,0.0,1
OF,OF,exp_002,1,42,Bob,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_002,1,42,Cindy,gpt-5.4-nano,20.0,10.0,0
OF,OF,exp_002,1,42,David,claude-sonnet-5,15.0,-3.0,1
OF,OF,exp_002,1,42,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_002,1,98,Alex,gpt-5.4,18.0,0.0,1
