group_level,model,condition,attribution_status,averaged_count,rate,paired_item_count
overall,ALL,ALL,dominant_policy_failure,980.0,0.67867,1444
overall,ALL,ALL,mixed_policy_and_context,323.0,0.223684,1444
overall,ALL,ALL,no_clear_policy_failure,137.5,0.095222,1444
overall,ALL,ALL,insufficient_evidence,3.5,0.002424,1444
model,claude-sonnet-5,ALL,dominant_policy_failure,125.5,0.565315,222
model,claude-sonnet-5,ALL,mixed_policy_and_context,61.5,0.277027,222
model,claude-sonnet-5,ALL,no_clear_policy_failure,34.5,0.155405,222
model,claude-sonnet-5,ALL,insufficient_evidence,0.5,0.002252,222
model,deepseek-v4-flash,ALL,dominant_policy_failure,283.5,0.803116,353
model,deepseek-v4-flash,ALL,mixed_policy_and_context,46.0,0.130312,353
model,deepseek-v4-flash,ALL,no_clear_policy_failure,23.0,0.065156,353
model,deepseek-v4-flash,ALL,insufficient_evidence,0.5,0.001416,353
model,gemini-3.5-flash,ALL,dominant_policy_failure,68.0,0.365591,186
model,gemini-3.5-flash,ALL,mixed_policy_and_context,90.5,0.486559,186
model,gemini-3.5-flash,ALL,no_clear_policy_failure,26.5,0.142473,186
model,gemini-3.5-flash,ALL,insufficient_evidence,1.0,0.005376,186
model,gpt-5.4,ALL,dominant_policy_failure,106.5,0.469163,227
model,gpt-5.4,ALL,mixed_policy_and_context,86.0,0.378855,227
model,gpt-5.4,ALL,no_clear_policy_failure,33.0,0.145374,227
model,gpt-5.4,ALL,insufficient_evidence,1.5,0.006608,227
model,gpt-5.4-nano,ALL,dominant_policy_failure,396.5,0.869518,456
model,gpt-5.4-nano,ALL,mixed_policy_and_context,39.0,0.085526,456
model,gpt-5.4-nano,ALL,no_clear_policy_failure,20.5,0.044956,456
model,gpt-5.4-nano,ALL,insufficient_evidence,0.0,0.0,456
condition,ALL,OF,dominant_policy_failure,508.5,0.680723,747
condition,ALL,OF,mixed_policy_and_context,165.5,0.221553,747
condition,ALL,OF,no_clear_policy_failure,72.0,0.096386,747
condition,ALL,OF,insufficient_evidence,1.0,0.001339,747
condition,ALL,OPF,dominant_policy_failure,471.5,0.676471,697
condition,ALL,OPF,mixed_policy_and_context,157.5,0.225968,697
condition,ALL,OPF,no_clear_policy_failure,65.5,0.093974,697
condition,ALL,OPF,insufficient_evidence,2.5,0.003587,697
model_condition,claude-sonnet-5,OF,dominant_policy_failure,59.0,0.556604,106
model_condition,claude-sonnet-5,OF,mixed_policy_and_context,29.5,0.278302,106
model_condition,claude-sonnet-5,OF,no_clear_policy_failure,17.5,0.165094,106
model_condition,claude-sonnet-5,OF,insufficient_evidence,0.0,0.0,106
model_condition,claude-sonnet-5,OPF,dominant_policy_failure,66.5,0.573276,116
model_condition,claude-sonnet-5,OPF,mixed_policy_and_context,32.0,0.275862,116
model_condition,claude-sonnet-5,OPF,no_clear_policy_failure,17.0,0.146552,116
model_condition,claude-sonnet-5,OPF,insufficient_evidence,0.5,0.00431,116
model_condition,deepseek-v4-flash,OF,dominant_policy_failure,148.0,0.81768,181
model_condition,deepseek-v4-flash,OF,mixed_policy_and_context,21.5,0.118785,181
model_condition,deepseek-v4-flash,OF,no_clear_policy_failure,11.5,0.063536,181
model_condition,deepseek-v4-flash,OF,insufficient_evidence,0.0,0.0,181
model_condition,deepseek-v4-flash,OPF,dominant_policy_failure,135.5,0.787791,172
model_condition,deepseek-v4-flash,OPF,mixed_policy_and_context,24.5,0.142442,172
model_condition,deepseek-v4-flash,OPF,no_clear_policy_failure,11.5,0.06686,172
model_condition,deepseek-v4-flash,OPF,insufficient_evidence,0.5,0.002907,172
model_condition,gemini-3.5-flash,OF,dominant_policy_failure,27.5,0.298913,92
model_condition,gemini-3.5-flash,OF,mixed_policy_and_context,50.0,0.543478,92
model_condition,gemini-3.5-flash,OF,no_clear_policy_failure,14.0,0.152174,92
model_condition,gemini-3.5-flash,OF,insufficient_evidence,0.5,0.005435,92
model_condition,gemini-3.5-flash,OPF,dominant_policy_failure,40.5,0.430851,94
model_condition,gemini-3.5-flash,OPF,mixed_policy_and_context,40.5,0.430851,94
model_condition,gemini-3.5-flash,OPF,no_clear_policy_failure,12.5,0.132979,94
model_condition,gemini-3.5-flash,OPF,insufficient_evidence,0.5,0.005319,94
model_condition,gpt-5.4,OF,dominant_policy_failure,48.0,0.432432,111
model_condition,gpt-5.4,OF,mixed_policy_and_context,46.5,0.418919,111
model_condition,gpt-5.4,OF,no_clear_policy_failure,16.0,0.144144,111
model_condition,gpt-5.4,OF,insufficient_evidence,0.5,0.004505,111
model_condition,gpt-5.4,OPF,dominant_policy_failure,58.5,0.50431,116
model_condition,gpt-5.4,OPF,mixed_policy_and_context,39.5,0.340517,116
model_condition,gpt-5.4,OPF,no_clear_policy_failure,17.0,0.146552,116
model_condition,gpt-5.4,OPF,insufficient_evidence,1.0,0.008621,116
model_condition,gpt-5.4-nano,OF,dominant_policy_failure,226.0,0.879377,257
model_condition,gpt-5.4-nano,OF,mixed_policy_and_context,18.0,0.070039,257
model_condition,gpt-5.4-nano,OF,no_clear_policy_failure,13.0,0.050584,257
model_condition,gpt-5.4-nano,OF,insufficient_evidence,0.0,0.0,257
model_condition,gpt-5.4-nano,OPF,dominant_policy_failure,170.5,0.856784,199
model_condition,gpt-5.4-nano,OPF,mixed_policy_and_context,21.0,0.105528,199
model_condition,gpt-5.4-nano,OPF,no_clear_policy_failure,7.5,0.037688,199
model_condition,gpt-5.4-nano,OPF,insufficient_evidence,0.0,0.0,199
